frame_index,timestamp,variance,laplacian_var,sobel_mean,std_contrast,brenner,blur_index,estimated_visibility
0,0,375.0432139739037,147.52469292533664,9.041351832145772,19.366032478902426,2849919,0.8949195074632968,117.41893171438414
1,60,341.4747953861896,107.68584743640915,5.918502238333114,18.479036646594693,1763741,0.9456155556908187,57.51221411480569
2,120,382.97784099912155,186.49459743795398,8.571092749898414,19.569819646566025,2232396,0.8882979682325959,125.74838146894822
3,180,373.01261627366694,183.8381868488629,8.532268627719132,19.313534536010412,2231208,0.8909563545384582,122.38943569579186
4,240,338.9157721359772,173.13720486099336,7.732375315503875,18.409665182614734,2077362,0.9068486485027722,102.71984376998604
5,300,438.8168561402203,199.35019313986976,9.331893682924141,20.947955894077595,2367119,0.8693001321099185,150.35068218942263
6,360,455.2588891198605,208.5026128200201,9.519994060403526,21.336796599299074,2409190,0.8621120614714779,159.94201298282613
7,420,446.9238535142639,205.82492078930775,9.231246463453536,21.140573632573545,2304527,0.8671453445886801,153.2092125505649
8,480,430.4776897705633,191.13455186434032,7.8111092703972504,20.747956279367934,2027834,0.8872954232353077,127.02035174907397
9,540,393.8364139688704,233.42398654483748,8.80541069819271,19.845312140877763,2123311,0.8692314567506875,150.44156793191104
10,600,441.628144134856,243.67063910563795,9.535304691524662,21.014950490897093,2239040,0.8526888181739911,172.76077589650066
11,660,516.9357292825191,251.89090494448345,10.090509360385276,22.73622064641613,2333150,0.8349908041983305,197.61797970948172
12,720,525.3027085845902,256.66246202077866,10.400746323409823,22.919483165738928,2408002,0.829335351305908,205.78484737851335
13,780,530.3048433371636,256.13970051894955,10.328427053982942,23.02834868889134,2348546,0.8298850405963507,204.98617408672126
14,840,529.2625110023771,253.3466666632335,10.292705982995956,23.005706053115976,2324014,0.8314666232960485,202.6940973720171
15,900,520.9458240403058,247.68840386264822,10.150764147015234,22.824237644230436,2353069,0.8353636446238377,197.08345752860436
16,960,487.98779156262316,244.6415071564839,10.000327085781993,22.090445707649792,2360364,0.8417745316073239,187.9665664041332
17,1020,468.5856566116849,244.30866210440067,9.847373568972406,21.64683941391179,2281923,0.84620012862279,181.75354289714272
18,1080,468.13676413759663,245.28714518219624,9.896733504809841,21.636468384133224,2312996,0.845302424408849,183.00855542835657
19,1140,467.82312084350605,245.3504242454799,9.847783919789556,21.629219145487106,2323368,0.8456034287817913,182.58744697929896
20,1200,467.6372188898533,243.2600455708398,9.772678449435022,21.624921245864765,2316436,0.846981525509752,180.66329652013894
21,1260,450.9063710077309,237.3169780782899,9.563222066948164,21.234556058644856,2317960,0.8528665267882272,172.5164121118182
22,1320,403.1994170459216,235.2891406178368,9.10076696314148,20.079826120908557,2202999,0.8644433166005493,156.81384863096827
