laplacian_var,sobel_mean,sobel_std,contrast_std,high_freq_ratio,edge_density,entropy,local_var_mean,brenner,timestamp,frame_number,time_offset_seconds,visibility_vis_1a,visibility_vis_10a,visibility_mor_raw,visibility_vis_raw,weather_pressure_hpa,weather_qnh_hpa,weather_temperature_c,weather_humidity_pct,weather_dewpoint_c,wind_wind_speed_2m,wind_wind_speed_10m,wind_wind_dir_2m,wind_wind_dir_10m,wind_gust_speed,vis_time_diff,ptu_time_diff,wind_time_diff
147.52469292533664,9.041351832145772,47.34144712513044,19.366032478902422,0.4255334686472282,0.0119520399305555,5.538357761300931,30.398726,82699096,2020-03-12 08:00:00,0,0.0,2370.0,10000.0,13440.0,13440.0,1013.5,1015.04,18.6,43.0,5.9,2.4,2.9,237.0,249.0,231.0,0.0,0.0,0.0
268.8682096236428,14.240470094955748,58.01556049289304,21.26771854305195,0.4294891030293012,0.006650390625,5.700784584496748,48.602318,116053671,2020-03-12 08:00:15,375,15.0,2366.0,10000.0,13470.0,13470.0,1013.5,1015.04,18.6,43.0,5.9,2.4,2.9,237.0,249.0,231.0,0.0,15.0,0.0
134.33403428817564,6.964475812093408,42.19176578552106,19.045328359276134,0.4283249180254748,0.0074197048611111,5.580221414436105,25.000027,61052834,2020-03-12 08:00:30,750,30.0,2359.0,10000.0,13489.0,13489.0,1013.5,1015.04,18.6,43.0,5.9,2.4,2.89,237.0,249.0,231.0,0.0,30.0,0.0
245.97937882189223,14.42154606569325,55.01468797290085,20.034637076319918,0.4346117754003834,0.0074631076388888,5.871196907860727,44.03766,106540903,2020-03-12 08:00:45,1125,45.0,2348.0,10000.0,13501.0,13501.0,1013.6,1015.14,18.6,43.0,5.9,2.4,2.89,238.0,249.0,231.0,0.0,15.0,0.0
107.68584743640916,5.918502238333114,37.414644973750455,18.479036646594693,0.4225623291688697,0.0058658854166666,5.600781176677849,19.63436,45574834,2020-03-12 08:01:00,1500,60.0,2337.0,10000.0,13481.0,13481.0,1013.6,1015.14,18.6,43.0,5.9,2.4,2.88,237.0,249.0,231.0,0.0,0.0,0.0
187.52170789918787,8.650626448859478,50.16385490695095,20.078791732648146,0.4423316714285347,0.010712890625,5.622122355770558,35.5603,91275417,2020-03-12 08:01:15,1875,75.0,2322.0,10000.0,13431.0,13431.0,1013.6,1015.14,18.6,43.0,5.9,2.4,2.87,236.0,249.0,231.0,0.0,15.0,0.0
184.66736979136527,8.613807352160919,49.95806540952481,19.805883483578185,0.4402164196027123,0.0102940538194444,5.592790812881491,35.150047,89422729,2020-03-12 08:01:30,2250,90.0,2305.0,10000.0,13314.0,13314.0,1013.6,1015.14,18.6,43.0,5.9,2.1,2.84,235.0,249.0,231.0,0.0,30.0,0.0
184.5565125863345,8.53771740419294,49.932653155467285,19.38862028744862,0.4410642767862081,0.0102549913194444,5.566785063472465,35.13425,89254487,2020-03-12 08:01:45,2625,105.0,2290.0,10000.0,13198.0,13198.0,1013.6,1015.14,18.5,43.0,5.81,2.1,2.82,236.0,249.0,231.0,0.0,15.0,0.0
186.494597437954,8.571092749898414,50.25984517958066,19.569819646566025,0.4400929418746525,0.0107942708333333,5.575126753854764,35.527702,89971987,2020-03-12 08:02:00,3000,120.0,2278.0,10000.0,13247.0,13247.0,1013.6,1015.14,18.5,43.0,5.81,2.1,2.79,236.0,249.0,228.0,0.0,0.0,0.0
184.47606011140488,8.497197460617231,50.13859563717413,19.46804340037905,0.44015439577782,0.0103971354166666,5.5856061948869815,35.23206,90371647,2020-03-12 08:02:15,3375,135.0,2263.0,10000.0,13230.0,13230.0,1013.6,1015.14,18.5,43.0,5.81,1.9,2.76,237.0,249.0,235.0,0.0,15.0,0.0
185.95152343670415,8.604133452355004,50.57479427890448,19.30577482252248,0.4383248625293902,0.0109429253472222,5.493623645552234,35.684864,91838394,2020-03-12 08:02:30,3750,150.0,2256.0,10000.0,13236.0,13236.0,1013.6,1015.14,18.5,43.0,5.81,1.8,2.73,236.0,249.0,235.0,0.0,30.0,0.0
185.3036111099055,8.583027844361837,50.33637271144129,19.559176934880306,0.4390459556661488,0.0099967447916666,5.577217241491028,35.49658,90553345,2020-03-12 08:02:45,4125,165.0,2242.0,10000.0,13220.0,13220.0,1013.6,1015.14,18.5,43.0,5.81,1.7,2.7,236.0,249.0,235.0,0.0,15.0,0.0
